type,name,description,time,price,location,area,note,id,full_text,vector_search
eat,Bun Mam Nem Co Be,vermicelli with fermented anchovy sauce,lunch,35k VND (~1.4$),21 Tran Ke Xuong,center,"Bun Mam Nem Co Be offers bold anchovy sauce with grilled pork, green banana, and fresh herbs.",eat_059,"vermicelli with fermented anchovy sauce lunch 35k VND (~1.4$) 21 Tran Ke Xuong center Bun Mam Nem Co Be offers bold anchovy sauce with grilled pork, green banana, and fresh herbs.","Bun Mam Nem Co Be offers bold anchovy sauce with grilled pork, green banana, and fresh herbs."
eat,Banh Trang Kep Co Sen,grilled rice paper with egg and sausage,afternoon,25k VND (~1$),38 Ong Ich Khiem,center,"Co Sen’s grilled rice paper is loaded with quail egg, pate, sausage, and spicy mayo.",eat_060,"grilled rice paper with egg and sausage afternoon 25k VND (~1$) 38 Ong Ich Khiem center Co Sen’s grilled rice paper is loaded with quail egg, pate, sausage, and spicy mayo.","Co Sen’s grilled rice paper is loaded with quail egg, pate, sausage, and spicy mayo."
eat,Mi Hoanh Thanh Ba Thu,wonton noodle soup,morning,35k VND (~1.4$),28 Le Dinh Duong,center,"Mi Hoanh Thanh Ba Thu serves clear broth noodles with pork wontons, chives, and crispy shallots.",eat_061,"wonton noodle soup morning 35k VND (~1.4$) 28 Le Dinh Duong center Mi Hoanh Thanh Ba Thu serves clear broth noodles with pork wontons, chives, and crispy shallots.","Mi Hoanh Thanh Ba Thu serves clear broth noodles with pork wontons, chives, and crispy shallots."
eat,Banh Mi Que Co Lan,mini spicy baguettes,morning,5k VND (~0.2$)/piece,109 Le Duan,center,"Co Lan’s mini baguettes are spicy, crispy, and perfect as quick snacks with chili jam filling.",eat_062,"mini spicy baguettes morning 5k VND (~0.2$)/piece 109 Le Duan center Co Lan’s mini baguettes are spicy, crispy, and perfect as quick snacks with chili jam filling.","Co Lan’s mini baguettes are spicy, crispy, and perfect as quick snacks with chili jam filling."
eat,Com Suon Ba Bong,grilled pork rib rice plate,lunch,45k VND (~1.8$),88 Nguyen Van Linh,center,"Com Suon Ba Bong includes marinated pork ribs, fried egg, and pickled vegetables over rice.",eat_063,"grilled pork rib rice plate lunch 45k VND (~1.8$) 88 Nguyen Van Linh center Com Suon Ba Bong includes marinated pork ribs, fried egg, and pickled vegetables over rice.","Com Suon Ba Bong includes marinated pork ribs, fried egg, and pickled vegetables over rice."
eat,Che Thai Co Tuyet,mixed fruit dessert with coconut milk,afternoon,20k VND (~0.8$),12 Hai Phong,center,"Che Thai Co Tuyet offers cold tropical fruit mix with jelly, lychee, and coconut milk.",eat_064,"mixed fruit dessert with coconut milk afternoon 20k VND (~0.8$) 12 Hai Phong center Che Thai Co Tuyet offers cold tropical fruit mix with jelly, lychee, and coconut milk.","Che Thai Co Tuyet offers cold tropical fruit mix with jelly, lychee, and coconut milk."
eat,Bo Kho Banh Mi Co Thao,beef stew with french bread,morning,50k VND (~2$),102 Nguyen Chi Thanh,center,"Co Thao’s beef stew is tender and spicy, served with warm baguettes and herbs.",eat_065,"beef stew with french bread morning 50k VND (~2$) 102 Nguyen Chi Thanh center Co Thao’s beef stew is tender and spicy, served with warm baguettes and herbs.","Co Thao’s beef stew is tender and spicy, served with warm baguettes and herbs."
eat,Goi Du Du Bo Kho Co Hien,papaya salad with dried beef,afternoon,30k VND (~1.2$),34 Le Loi,center,"Co Hien’s green papaya salad is crunchy and topped with chili, herbs, and dried beef strips.",eat_066,"papaya salad with dried beef afternoon 30k VND (~1.2$) 34 Le Loi center Co Hien’s green papaya salad is crunchy and topped with chili, herbs, and dried beef strips.","Co Hien’s green papaya salad is crunchy and topped with chili, herbs, and dried beef strips."
eat,Banh Cuon Nong Ba Hong,steamed rice rolls with pork,morning,35k VND (~1.4$),20 Nguyen Duy Hieu,center,"Ba Hong serves hot rice rolls filled with minced pork and mushrooms, served with fish sauce.",eat_067,"steamed rice rolls with pork morning 35k VND (~1.4$) 20 Nguyen Duy Hieu center Ba Hong serves hot rice rolls filled with minced pork and mushrooms, served with fish sauce.","Ba Hong serves hot rice rolls filled with minced pork and mushrooms, served with fish sauce."
eat,Mi Quang Ca Loc Co Thuy,turmeric noodles with fish,lunch,40k VND (~1.6$),67 Hoang Dieu,center,Mi Quang Ca Loc Co Thuy features crispy snakehead fish with yellow noodles and crushed peanuts.,eat_068,turmeric noodles with fish lunch 40k VND (~1.6$) 67 Hoang Dieu center Mi Quang Ca Loc Co Thuy features crispy snakehead fish with yellow noodles and crushed peanuts.,Mi Quang Ca Loc Co Thuy features crispy snakehead fish with yellow noodles and crushed peanuts.
eat,Cafe Xom Da Nang,modern vietnamese coffee,afternoon,35k VND (~1.4$),40 Tran Quoc Toan,center,Cafe Xom serves creative drinks in a minimalistic space with slow-drip coffee and coconut foam.,eat_069,modern vietnamese coffee afternoon 35k VND (~1.4$) 40 Tran Quoc Toan center Cafe Xom serves creative drinks in a minimalistic space with slow-drip coffee and coconut foam.,Cafe Xom serves creative drinks in a minimalistic space with slow-drip coffee and coconut foam.
eat,Banh Canh Cha Ca Ba Oanh,fish cake thick noodle soup,morning,30k VND (~1.2$),92 Nguyen Van Linh,center,Ba Oanh’s Banh Canh includes soft noodles in a fishy broth with slices of golden fried fish cake.,eat_070,fish cake thick noodle soup morning 30k VND (~1.2$) 92 Nguyen Van Linh center Ba Oanh’s Banh Canh includes soft noodles in a fishy broth with slices of golden fried fish cake.,Ba Oanh’s Banh Canh includes soft noodles in a fishy broth with slices of golden fried fish cake.
eat,Xoi Man Co Thu,savory sticky rice with sausage and egg,morning,25k VND (~1$),55 Le Dinh Duong,center,"Co Thu’s savory sticky rice is topped with lap xuong, shredded pork, and scallion oil.",eat_071,"savory sticky rice with sausage and egg morning 25k VND (~1$) 55 Le Dinh Duong center Co Thu’s savory sticky rice is topped with lap xuong, shredded pork, and scallion oil.","Co Thu’s savory sticky rice is topped with lap xuong, shredded pork, and scallion oil."
eat,Chao Luon Ba Tinh,eel porridge,morning,45k VND (~1.8$),78 Le Duan,center,"Chao Luon Ba Tinh features creamy congee with stir-fried eel, pepper, and deep-fried breadsticks.",eat_072,"eel porridge morning 45k VND (~1.8$) 78 Le Duan center Chao Luon Ba Tinh features creamy congee with stir-fried eel, pepper, and deep-fried breadsticks.","Chao Luon Ba Tinh features creamy congee with stir-fried eel, pepper, and deep-fried breadsticks."
eat,Lau Ca Khoai Co Diem,sweet and sour fish hotpot,evening,180k VND (~7.2$)/set,10 Chau Thi Vinh Te,center,Co Diem’s fish hotpot features khoai fish in sour tamarind broth with vegetables and vermicelli.,eat_073,sweet and sour fish hotpot evening 180k VND (~7.2$)/set 10 Chau Thi Vinh Te center Co Diem’s fish hotpot features khoai fish in sour tamarind broth with vegetables and vermicelli.,Co Diem’s fish hotpot features khoai fish in sour tamarind broth with vegetables and vermicelli.
eat,Banh Beo Chen Co Mai,rice cakes with shrimp and crispy toppings,afternoon,30k VND (~1.2$),45 Nguyen Van Linh,center,"Co Mai’s Banh Beo comes in small cups with shrimp powder, scallion oil, and crispy pork fat.",eat_074,"rice cakes with shrimp and crispy toppings afternoon 30k VND (~1.2$) 45 Nguyen Van Linh center Co Mai’s Banh Beo comes in small cups with shrimp powder, scallion oil, and crispy pork fat.","Co Mai’s Banh Beo comes in small cups with shrimp powder, scallion oil, and crispy pork fat."
eat,Bun Oc Chu Thinh,snail noodle soup,morning,35k VND (~1.4$),66 Pham Nhu Xuong,west,"Bun Oc Chu Thinh serves hot vermicelli soup loaded with freshwater snails, tomato, and tangy broth.",eat_075,"snail noodle soup morning 35k VND (~1.4$) 66 Pham Nhu Xuong west Bun Oc Chu Thinh serves hot vermicelli soup loaded with freshwater snails, tomato, and tangy broth.","Bun Oc Chu Thinh serves hot vermicelli soup loaded with freshwater snails, tomato, and tangy broth."
eat,Banh Trang Dap Co Ha,cracked rice paper with pork,afternoon,25k VND (~1$),72 Thanh Thuy,center,Co Ha’s Banh Trang Dap features two layers of rice paper smashed with onion oil and served with pork and dipping sauce.,eat_076,cracked rice paper with pork afternoon 25k VND (~1$) 72 Thanh Thuy center Co Ha’s Banh Trang Dap features two layers of rice paper smashed with onion oil and served with pork and dipping sauce.,Co Ha’s Banh Trang Dap features two layers of rice paper smashed with onion oil and served with pork and dipping sauce.
eat,Bo Ne Ba Hien,sizzling steak with egg and pate,morning,55k VND (~2.2$),89 Ong Ich Khiem,center,"Bo Ne Ba Hien offers a hotplate steak set with pate, fried egg, and crusty bread. Local hearty breakfast.",eat_077,"sizzling steak with egg and pate morning 55k VND (~2.2$) 89 Ong Ich Khiem center Bo Ne Ba Hien offers a hotplate steak set with pate, fried egg, and crusty bread. Local hearty breakfast.","Bo Ne Ba Hien offers a hotplate steak set with pate, fried egg, and crusty bread. Local hearty breakfast."
eat,Mi Quang Ba Hoa,turmeric noodle with pork and shrimp,lunch,40k VND (~1.6$),27 Nguyen Huu Tho,center,"Ba Hoa's Mi Quang features thick noodles in a light broth with pork, shrimp, and fresh herbs.",eat_078,"turmeric noodle with pork and shrimp lunch 40k VND (~1.6$) 27 Nguyen Huu Tho center Ba Hoa's Mi Quang features thick noodles in a light broth with pork, shrimp, and fresh herbs.","Ba Hoa's Mi Quang features thick noodles in a light broth with pork, shrimp, and fresh herbs."
eat,Goi Cuon Tom Thit Co Cam,fresh spring rolls with shrimp and pork,afternoon,25k VND (~1$),61 Tran Ke Xuong,center,"Co Cam’s fresh rolls include shrimp, boiled pork, vermicelli, and lettuce, served with thick peanut sauce.",eat_079,"fresh spring rolls with shrimp and pork afternoon 25k VND (~1$) 61 Tran Ke Xuong center Co Cam’s fresh rolls include shrimp, boiled pork, vermicelli, and lettuce, served with thick peanut sauce.","Co Cam’s fresh rolls include shrimp, boiled pork, vermicelli, and lettuce, served with thick peanut sauce."
eat,Cafe Nam Danh,strong iced coffee,morning,20k VND (~0.8$),17 Tran Quoc Toan,center,"Nam Danh serves bold, dark-roasted Vietnamese coffee using traditional phin filters. Popular with locals.",eat_080,"strong iced coffee morning 20k VND (~0.8$) 17 Tran Quoc Toan center Nam Danh serves bold, dark-roasted Vietnamese coffee using traditional phin filters. Popular with locals.","Nam Danh serves bold, dark-roasted Vietnamese coffee using traditional phin filters. Popular with locals."
eat,Banh Mi Heo Quay Co Tham,roast pork baguette,morning,25k VND (~1$),58 Nguyen Chi Thanh,center,Co Tham’s crispy roast pork with five-spice seasoning pairs perfectly with crunchy bread and pickled carrot.,eat_081,roast pork baguette morning 25k VND (~1$) 58 Nguyen Chi Thanh center Co Tham’s crispy roast pork with five-spice seasoning pairs perfectly with crunchy bread and pickled carrot.,Co Tham’s crispy roast pork with five-spice seasoning pairs perfectly with crunchy bread and pickled carrot.
eat,Chao Ca Ba Dung,fish congee,morning,35k VND (~1.4$),40 Le Lai,center,"Ba Dung serves fragrant rice porridge topped with seared fish fillet, ginger, and dill.",eat_082,"fish congee morning 35k VND (~1.4$) 40 Le Lai center Ba Dung serves fragrant rice porridge topped with seared fish fillet, ginger, and dill.","Ba Dung serves fragrant rice porridge topped with seared fish fillet, ginger, and dill."
eat,Banh Bot Loc Tran,clear tapioca dumplings,afternoon,20k VND (~0.8$),12 Nguyen Cong Tru,center,"Tran’s Banh Bot Loc offers chewy dumplings with shrimp and pork belly, either steamed or boiled, served with fish sauce.",eat_083,"clear tapioca dumplings afternoon 20k VND (~0.8$) 12 Nguyen Cong Tru center Tran’s Banh Bot Loc offers chewy dumplings with shrimp and pork belly, either steamed or boiled, served with fish sauce.","Tran’s Banh Bot Loc offers chewy dumplings with shrimp and pork belly, either steamed or boiled, served with fish sauce."
eat,Bun Cha Ca Ong Ta,grilled fish cake noodle soup,morning,35k VND (~1.4$),113 Nguyen Van Thoai,beach,Ong Ta’s Bun Cha Ca is known for tender fish cake slices in a mildly sweet and spicy broth with green onions.,eat_084,grilled fish cake noodle soup morning 35k VND (~1.4$) 113 Nguyen Van Thoai beach Ong Ta’s Bun Cha Ca is known for tender fish cake slices in a mildly sweet and spicy broth with green onions.,Ong Ta’s Bun Cha Ca is known for tender fish cake slices in a mildly sweet and spicy broth with green onions.
eat,Lau Bo Co Tuyet,beef hotpot,evening,220k VND (~9$)/set,49 Nguyen Duy Hieu,center,"Co Tuyet’s beef hotpot includes slices of beef, tendon, vegetables, and tofu in spicy lemongrass broth.",eat_085,"beef hotpot evening 220k VND (~9$)/set 49 Nguyen Duy Hieu center Co Tuyet’s beef hotpot includes slices of beef, tendon, vegetables, and tofu in spicy lemongrass broth.","Co Tuyet’s beef hotpot includes slices of beef, tendon, vegetables, and tofu in spicy lemongrass broth."
eat,Pho Ga Quang An,chicken pho,morning,40k VND (~1.6$),3 Hoang Hoa Tham,center,"Quang An serves clean chicken broth pho with sliced chicken, herbs, and lime leaf aroma.",eat_086,"chicken pho morning 40k VND (~1.6$) 3 Hoang Hoa Tham center Quang An serves clean chicken broth pho with sliced chicken, herbs, and lime leaf aroma.","Quang An serves clean chicken broth pho with sliced chicken, herbs, and lime leaf aroma."
eat,Banh Kep Ba Nga,grilled rice paper snack,afternoon,20k VND (~0.8$),69 Le Dinh Ly,center,"Ba Nga’s snack stand serves rice paper grilled with quail egg, dry beef, chili, and scallions. A student favorite.",eat_087,"grilled rice paper snack afternoon 20k VND (~0.8$) 69 Le Dinh Ly center Ba Nga’s snack stand serves rice paper grilled with quail egg, dry beef, chili, and scallions. A student favorite.","Ba Nga’s snack stand serves rice paper grilled with quail egg, dry beef, chili, and scallions. A student favorite."
eat,Che Bap Co Tu,corn sweet soup,afternoon,15k VND (~0.6$),24 Le Loi,center,Che Bap Co Tu features warm or cold corn dessert with coconut milk and tapioca pearls. Comforting and nostalgic.,eat_088,corn sweet soup afternoon 15k VND (~0.6$) 24 Le Loi center Che Bap Co Tu features warm or cold corn dessert with coconut milk and tapioca pearls. Comforting and nostalgic.,Che Bap Co Tu features warm or cold corn dessert with coconut milk and tapioca pearls. Comforting and nostalgic.
eat,Xoi La Sen Co Hien,lotus leaf sticky rice,morning,30k VND (~1.2$),90 Phan Dang Luu,center,"Co Hien’s sticky rice is steamed in lotus leaf and topped with shredded chicken, mushroom, and quail egg.",eat_089,"lotus leaf sticky rice morning 30k VND (~1.2$) 90 Phan Dang Luu center Co Hien’s sticky rice is steamed in lotus leaf and topped with shredded chicken, mushroom, and quail egg.","Co Hien’s sticky rice is steamed in lotus leaf and topped with shredded chicken, mushroom, and quail egg."
eat,Bun Bo Gia Truyen,spicy beef noodle soup,morning,35k VND (~1.4$),11 Tran Quoc Toan,center,"Gia Truyen Bun Bo features slow-simmered spicy broth with lemongrass, pork hock, and banana blossom.",eat_090,"spicy beef noodle soup morning 35k VND (~1.4$) 11 Tran Quoc Toan center Gia Truyen Bun Bo features slow-simmered spicy broth with lemongrass, pork hock, and banana blossom.","Gia Truyen Bun Bo features slow-simmered spicy broth with lemongrass, pork hock, and banana blossom."
eat,Cafe Vy Da Xua,vintage-style vietnamese coffee,afternoon,30k VND (~1.2$),77 Tran Phu,center,"Vy Da Xua offers traditional coffee in a retro house with antiques, mellow music, and green garden view.",eat_091,"vintage-style vietnamese coffee afternoon 30k VND (~1.2$) 77 Tran Phu center Vy Da Xua offers traditional coffee in a retro house with antiques, mellow music, and green garden view.","Vy Da Xua offers traditional coffee in a retro house with antiques, mellow music, and green garden view."
eat,Banh Cuon Nong Co Oanh,steamed rice rolls,morning,30k VND (~1.2$),35 Le Thanh Nghi,center,"Co Oanh’s fresh steamed rolls are filled with minced pork and mushrooms, topped with crispy shallots.",eat_092,"steamed rice rolls morning 30k VND (~1.2$) 35 Le Thanh Nghi center Co Oanh’s fresh steamed rolls are filled with minced pork and mushrooms, topped with crispy shallots.","Co Oanh’s fresh steamed rolls are filled with minced pork and mushrooms, topped with crispy shallots."
eat,Nem Lui Ba Tam,grilled pork lemongrass skewers,evening,40k VND (~1.6$),22 Hai Phong,center,"Ba Tam’s Nem Lui are smoky pork skewers served with rice paper, herbs, and tangy dipping sauce.",eat_093,"grilled pork lemongrass skewers evening 40k VND (~1.6$) 22 Hai Phong center Ba Tam’s Nem Lui are smoky pork skewers served with rice paper, herbs, and tangy dipping sauce.","Ba Tam’s Nem Lui are smoky pork skewers served with rice paper, herbs, and tangy dipping sauce."
eat,Bo Kho Co Suong,spicy beef stew,morning,50k VND (~2$),27 Nguyen Huu Tho,center,"Co Suong serves fragrant beef stew with carrots and lemongrass, served with warm baguettes.",eat_094,"spicy beef stew morning 50k VND (~2$) 27 Nguyen Huu Tho center Co Suong serves fragrant beef stew with carrots and lemongrass, served with warm baguettes.","Co Suong serves fragrant beef stew with carrots and lemongrass, served with warm baguettes."
eat,Bun Rieu Cua Ba Lan,crab paste vermicelli soup,morning,35k VND (~1.4$),18 Nguyen Van Linh,center,"Ba Lan’s Bun Rieu is a tomato-based soup with crab paste, fried tofu, and vermicelli.",eat_095,"crab paste vermicelli soup morning 35k VND (~1.4$) 18 Nguyen Van Linh center Ba Lan’s Bun Rieu is a tomato-based soup with crab paste, fried tofu, and vermicelli.","Ba Lan’s Bun Rieu is a tomato-based soup with crab paste, fried tofu, and vermicelli."
eat,Sinh To Trai Cay Co Lien,mixed fruit smoothie,afternoon,25k VND (~1$),55 Quang Trung,center,"Co Lien blends tropical fruits like avocado, mango, and sapodilla with condensed milk into thick smoothies.",eat_096,"mixed fruit smoothie afternoon 25k VND (~1$) 55 Quang Trung center Co Lien blends tropical fruits like avocado, mango, and sapodilla with condensed milk into thick smoothies.","Co Lien blends tropical fruits like avocado, mango, and sapodilla with condensed milk into thick smoothies."
eat,Banh Xeo Co Be,crispy pancake with pork and shrimp,evening,45k VND (~1.8$),10 Nguyen Chi Thanh,center,"Co Be’s Banh Xeo are golden, crunchy, filled with shrimp, pork, and bean sprouts, served with lettuce and herbs.",eat_097,"crispy pancake with pork and shrimp evening 45k VND (~1.8$) 10 Nguyen Chi Thanh center Co Be’s Banh Xeo are golden, crunchy, filled with shrimp, pork, and bean sprouts, served with lettuce and herbs.","Co Be’s Banh Xeo are golden, crunchy, filled with shrimp, pork, and bean sprouts, served with lettuce and herbs."
eat,Bun Thit Nuong Co Dung,grilled pork with vermicelli,lunch,35k VND (~1.4$),29 Ly Thai To,center,"Co Dung’s dish features grilled pork, rice vermicelli, crushed peanuts, pickled carrots, and fish sauce.",eat_098,"grilled pork with vermicelli lunch 35k VND (~1.4$) 29 Ly Thai To center Co Dung’s dish features grilled pork, rice vermicelli, crushed peanuts, pickled carrots, and fish sauce.","Co Dung’s dish features grilled pork, rice vermicelli, crushed peanuts, pickled carrots, and fish sauce."
see,Linh Ung Pagoda,pagoda,morning,free,Hoang Sa Street,beach,Linh Ung Pagoda features the tallest Lady Buddha statue in Vietnam overlooking the sea. A peaceful coastal temple perfect for sunrise visits.,see_099,pagoda morning free Hoang Sa Street beach Linh Ung Pagoda features the tallest Lady Buddha statue in Vietnam overlooking the sea. A peaceful coastal temple perfect for sunrise visits.,Linh Ung Pagoda features the tallest Lady Buddha statue in Vietnam overlooking the sea. A peaceful coastal temple perfect for sunrise visits.
see,Dragon Bridge,bridge,evening,free,Nguyen Van Linh Street,river,"Dragon Bridge lights up at night and breathes fire and water on weekends, making it Da Nang’s most iconic photo spot.",see_100,"bridge evening free Nguyen Van Linh Street river Dragon Bridge lights up at night and breathes fire and water on weekends, making it Da Nang’s most iconic photo spot.","Dragon Bridge lights up at night and breathes fire and water on weekends, making it Da Nang’s most iconic photo spot."
see,My Khe Beach,beach,all-day,free,Vo Nguyen Giap Street,beach,"My Khe Beach is a long stretch of white sand with clear water, ideal for swimming, jogging, and watching sunrise.",see_101,"beach all-day free Vo Nguyen Giap Street beach My Khe Beach is a long stretch of white sand with clear water, ideal for swimming, jogging, and watching sunrise.","My Khe Beach is a long stretch of white sand with clear water, ideal for swimming, jogging, and watching sunrise."
see,Ba Na Hills,mountain resort,all-day,850k VND (~34$),"Hoa Ninh,Hoa Vang District",west,"Ba Na Hills offers cable cars, a European village, fantasy parks, and the famous Golden Bridge held by giant stone hands.",see_102,"mountain resort all-day 850k VND (~34$) Hoa Ninh,Hoa Vang District west Ba Na Hills offers cable cars, a European village, fantasy parks, and the famous Golden Bridge held by giant stone hands.","Ba Na Hills offers cable cars, a European village, fantasy parks, and the famous Golden Bridge held by giant stone hands."
see,Marble Mountains,limestone and cave complex,morning,40k VND (~1.6$),81 Huyen Tran Cong Chua,south,"Marble Mountains feature caves, pagodas, stone stairways, and panoramic views over the city and coastline.",see_103,"limestone and cave complex morning 40k VND (~1.6$) 81 Huyen Tran Cong Chua south Marble Mountains feature caves, pagodas, stone stairways, and panoramic views over the city and coastline.","Marble Mountains feature caves, pagodas, stone stairways, and panoramic views over the city and coastline."
see,Han River Bridge,swing bridge,evening,free,Tran Phu Street,river,Han River Bridge is Vietnam’s first rotating bridge. It turns at night and offers stunning views of Da Nang’s skyline.,see_104,swing bridge evening free Tran Phu Street river Han River Bridge is Vietnam’s first rotating bridge. It turns at night and offers stunning views of Da Nang’s skyline.,Han River Bridge is Vietnam’s first rotating bridge. It turns at night and offers stunning views of Da Nang’s skyline.
see,Love Lock Bridge,romantic bridge with heart-shaped lights,evening,free,Tran Hung Dao Street,river,Love Lock Bridge has romantic lighting and space to hang padlocks. A great photo spot for couples.,see_105,romantic bridge with heart-shaped lights evening free Tran Hung Dao Street river Love Lock Bridge has romantic lighting and space to hang padlocks. A great photo spot for couples.,Love Lock Bridge has romantic lighting and space to hang padlocks. A great photo spot for couples.
see,Son Tra Peninsula,nature reserve,morning,free,Son Tra District,north,"Son Tra Peninsula is a lush area ideal for motorbike rides, monkey spotting, and viewing the city from mountain peaks.",see_106,"nature reserve morning free Son Tra District north Son Tra Peninsula is a lush area ideal for motorbike rides, monkey spotting, and viewing the city from mountain peaks.","Son Tra Peninsula is a lush area ideal for motorbike rides, monkey spotting, and viewing the city from mountain peaks."
see,Con Market,local wet market,morning,free,290 Hung Vuong,center,Con Market is packed with street food stalls and vendors selling everything from seafood to fabrics. A true local experience.,see_107,local wet market morning free 290 Hung Vuong center Con Market is packed with street food stalls and vendors selling everything from seafood to fabrics. A true local experience.,Con Market is packed with street food stalls and vendors selling everything from seafood to fabrics. A true local experience.
see,Da Nang Museum of Cham Sculpture,museum,afternoon,60k VND (~2.4$),2 2 Thang 9 Street,center,"This museum houses the largest collection of Cham artifacts in Vietnam, including sandstone sculptures and ancient relics.",see_108,"museum afternoon 60k VND (~2.4$) 2 2 Thang 9 Street center This museum houses the largest collection of Cham artifacts in Vietnam, including sandstone sculptures and ancient relics.","This museum houses the largest collection of Cham artifacts in Vietnam, including sandstone sculptures and ancient relics."
see,Cafe Aroi,coffee shop,afternoon,30k VND (~1.2$),72 Bach Dang,river,Cafe Aroi offers a chilled vibe and riverfront seating. Known for its view of Dragon Bridge and minimalistic decor.,see_109,coffee shop afternoon 30k VND (~1.2$) 72 Bach Dang river Cafe Aroi offers a chilled vibe and riverfront seating. Known for its view of Dragon Bridge and minimalistic decor.,Cafe Aroi offers a chilled vibe and riverfront seating. Known for its view of Dragon Bridge and minimalistic decor.
see,Helio Night Market,food and entertainment market,evening,free,2 Thang 9 Street,center,"Helio Night Market is bustling with food stalls, live music, and souvenir stands. Open every night.",see_110,"food and entertainment market evening free 2 Thang 9 Street center Helio Night Market is bustling with food stalls, live music, and souvenir stands. Open every night.","Helio Night Market is bustling with food stalls, live music, and souvenir stands. Open every night."
see,Han Market,indoor market,morning,free,119 Tran Phu,center,"Han Market is one of Da Nang’s oldest indoor markets, offering dried seafood, local snacks, and clothes at affordable prices.",see_111,"indoor market morning free 119 Tran Phu center Han Market is one of Da Nang’s oldest indoor markets, offering dried seafood, local snacks, and clothes at affordable prices.","Han Market is one of Da Nang’s oldest indoor markets, offering dried seafood, local snacks, and clothes at affordable prices."
see,Sky36 Rooftop Bar,rooftop nightlife spot,evening,200k VND (~8$)/drink,36 Bach Dang,center,"Sky36 is the highest rooftop bar in Da Nang with DJs, cocktails, and panoramic views of the Han River.",see_112,"rooftop nightlife spot evening 200k VND (~8$)/drink 36 Bach Dang center Sky36 is the highest rooftop bar in Da Nang with DJs, cocktails, and panoramic views of the Han River.","Sky36 is the highest rooftop bar in Da Nang with DJs, cocktails, and panoramic views of the Han River."
see,Greenhouse Cafe,plant-themed coffee shop,afternoon,35k VND (~1.4$),102 Nguyen Van Linh,center,Greenhouse Cafe is filled with tropical plants and serves specialty coffee in a garden-like atmosphere.,see_113,plant-themed coffee shop afternoon 35k VND (~1.4$) 102 Nguyen Van Linh center Greenhouse Cafe is filled with tropical plants and serves specialty coffee in a garden-like atmosphere.,Greenhouse Cafe is filled with tropical plants and serves specialty coffee in a garden-like atmosphere.
see,Tien Sa Lighthouse,lighthouse,morning,free,Son Tra Mountain Road,north,"This old French-built lighthouse offers coastal views, cool breeze, and solitude just outside the city center.",see_114,"lighthouse morning free Son Tra Mountain Road north This old French-built lighthouse offers coastal views, cool breeze, and solitude just outside the city center.","This old French-built lighthouse offers coastal views, cool breeze, and solitude just outside the city center."
see,The Memory Lounge,vintage-themed café,evening,40k VND (~1.6$),215 Tran Phu,center,"A nostalgic space with antiques, dim lighting, and retro music. Popular for writing, reading, and dates.",see_115,"vintage-themed café evening 40k VND (~1.6$) 215 Tran Phu center A nostalgic space with antiques, dim lighting, and retro music. Popular for writing, reading, and dates.","A nostalgic space with antiques, dim lighting, and retro music. Popular for writing, reading, and dates."
see,DHC Marina,marina and statue park,evening,free,Bach Dang Street,river,"DHC Marina features the Carp Turning Into Dragon statue and night lights, with food vendors and riverfront views.",see_116,"marina and statue park evening free Bach Dang Street river DHC Marina features the Carp Turning Into Dragon statue and night lights, with food vendors and riverfront views.","DHC Marina features the Carp Turning Into Dragon statue and night lights, with food vendors and riverfront views."
see,Upside Down World Da Nang,interactive photo museum,afternoon,100k VND (~4$),44 Ho Xuan Huong,south,A quirky photo museum where all rooms are upside down. Great for social media shots and families.,see_117,interactive photo museum afternoon 100k VND (~4$) 44 Ho Xuan Huong south A quirky photo museum where all rooms are upside down. Great for social media shots and families.,A quirky photo museum where all rooms are upside down. Great for social media shots and families.
see,Cinemax Da Nang,movie theater,evening,75k VND (~3$),Lottemart Building,center,Modern theater with comfortable seats and screenings of both Vietnamese and international films.,see_118,movie theater evening 75k VND (~3$) Lottemart Building center Modern theater with comfortable seats and screenings of both Vietnamese and international films.,Modern theater with comfortable seats and screenings of both Vietnamese and international films.
see,Ca Phe Nam,wooden house-style coffee shop,morning,35k VND (~1.4$),35 Nguyen Chi Thanh,center,Ca Phe Nam offers traditional drip coffee in a quiet old-style wooden house with open windows and koi pond.,see_119,wooden house-style coffee shop morning 35k VND (~1.4$) 35 Nguyen Chi Thanh center Ca Phe Nam offers traditional drip coffee in a quiet old-style wooden house with open windows and koi pond.,Ca Phe Nam offers traditional drip coffee in a quiet old-style wooden house with open windows and koi pond.
see,Hoa Cuong Waterpark,family waterpark,afternoon,120k VND (~4.8$),255 Nui Thanh,south,"Waterpark with pools, slides, and lazy rivers. A fun spot for hot afternoons with kids or friends.",see_120,"family waterpark afternoon 120k VND (~4.8$) 255 Nui Thanh south Waterpark with pools, slides, and lazy rivers. A fun spot for hot afternoons with kids or friends.","Waterpark with pools, slides, and lazy rivers. A fun spot for hot afternoons with kids or friends."
see,Vincom Plaza Da Nang,shopping mall,afternoon,free,910A Ngo Quyen,center,"Vincom Plaza offers shopping, cinema, games, and food court under one roof. Modern and air-conditioned.",see_121,"shopping mall afternoon free 910A Ngo Quyen center Vincom Plaza offers shopping, cinema, games, and food court under one roof. Modern and air-conditioned.","Vincom Plaza offers shopping, cinema, games, and food court under one roof. Modern and air-conditioned."
